agent_slug,tier,seed,day,bank,hands_hired_today,quadrants_owned,tiles_crop,tiles_pasture,tiles_coop,tiles_empty,tiles_weed,animals_alive,shed_items,price_wheat,price_melon,price_milk,price_wool
fallow_finn,0,7000,0,3000,0,1,0,0,0,25,0,0,0,26,256,169,206
fallow_finn,0,7000,1,3000,0,1,0,0,0,25,0,0,0,27,262,175,212
fallow_finn,0,7000,2,3000,0,1,0,0,0,25,0,0,0,27,266,179,215
fallow_finn,0,7000,3,3000,0,1,0,0,0,25,0,0,0,28,268,183,218
fallow_finn,0,7000,4,3000,0,1,0,0,0,25,0,0,0,28,270,186,220
fallow_finn,0,7000,5,3000,0,1,0,0,0,25,0,0,0,28,272,189,221
fallow_finn,0,7000,6,3000,0,1,0,0,0,25,0,0,0,29,273,195,223
fallow_finn,0,7000,7,3000,0,1,0,0,0,25,0,0,0,29,274,203,224
fallow_finn,0,7000,8,3000,0,1,0,0,0,25,0,0,0,29,275,209,225
fallow_finn,0,7000,9,3000,0,1,0,0,0,25,0,0,0,30,276,215,226
fallow_finn,0,7000,10,3000,0,1,0,0,0,25,0,0,0,31,277,221,227
fallow_finn,0,7000,11,3000,0,1,0,0,0,25,0,0,0,31,279,227,228
fallow_finn,0,7000,12,3000,0,1,0,0,0,25,0,0,0,32,280,232,229
fallow_finn,0,7000,13,3000,0,1,0,0,0,25,0,0,0,33,281,237,230
fallow_finn,0,7000,14,3000,0,1,0,0,0,25,0,0,0,34,282,242,231
fallow_finn,0,7000,15,3000,0,1,0,0,0,25,0,0,0,35,283,246,233
fallow_finn,0,7000,16,3000,0,1,0,0,0,25,0,0,0,36,284,251,236
fallow_finn,0,7000,17,3000,0,1,0,0,0,25,0,0,0,37,284,255,238
fallow_finn,0,7000,18,3000,0,1,0,0,0,25,0,0,0,37,285,260,239
fallow_finn,0,7000,19,3000,0,1,0,0,0,25,0,0,0,38,286,266,241
fallow_finn,0,7000,20,3000,0,1,0,0,0,25,0,0,0,39,287,272,242
fallow_finn,0,7000,21,3000,0,1,0,0,0,25,0,0,0,40,288,279,243
fallow_finn,0,7000,22,3000,0,1,0,0,0,25,0,0,0,41,288,287,244
fallow_finn,0,7000,23,3000,0,1,0,0,0,25,0,0,0,42,289,295,245
fallow_finn,0,7000,24,3000,0,1,0,0,0,25,0,0,0,43,290,302,246
fallow_finn,0,7000,25,3000,0,1,0,0,0,25,0,0,0,44,291,309,247
fallow_finn,0,7000,26,3000,0,1,0,0,0,25,0,0,0,45,291,315,247
fallow_finn,0,7000,27,3000,0,1,0,0,0,25,0,0,0,46,292,321,248
fallow_finn,0,7000,28,3000,0,1,0,0,0,25,0,0,0,47,293,327,249
fallow_finn,0,7000,29,3000,0,1,0,0,0,25,0,0,0,48,293,333,249
fallow_finn,0,7001,0,3000,0,1,0,0,0,25,0,0,0,26,256,169,206
fallow_finn,0,7001,1,3000,0,1,0,0,0,25,0,0,0,27,262,175,212
fallow_finn,0,7001,2,3000,0,1,0,0,0,25,0,0,0,27,266,179,215
fallow_finn,0,7001,3,3000,0,1,0,0,0,25,0,0,0,28,268,183,223
fallow_finn,0,7001,4,3000,0,1,0,0,0,25,0,0,0,28,270,186,229
fallow_finn,0,7001,5,3000,0,1,0,0,0,25,0,0,0,28,272,189,232
fallow_finn,0,7001,6,3000,0,1,0,0,0,25,0,0,0,29,273,195,235
fallow_finn,0,7001,7,3000,0,1,0,0,0,25,0,0,0,29,274,203,236
fallow_finn,0,7001,8,3000,0,1,0,0,0,25,0,0,0,29,275,209,238
fallow_finn,0,7001,9,3000,0,1,0,0,0,25,0,0,0,30,276,215,239
fallow_finn,0,7001,10,3000,0,1,0,0,0,25,0,0,0,31,277,221,241
fallow_finn,0,7001,11,3000,0,1,0,0,0,25,0,0,0,31,279,227,242
fallow_finn,0,7001,12,3000,0,1,0,0,0,25,0,0,0,32,280,232,243
fallow_finn,0,7001,13,3000,0,1,0,0,0,25,0,0,0,33,281,237,244
fallow_finn,0,7001,14,3000,0,1,0,0,0,25,0,0,0,34,282,242,244
fallow_finn,0,7001,15,3000,0,1,0,0,0,25,0,0,0,35,283,246,245
fallow_finn,0,7001,16,3000,0,1,0,0,0,25,0,0,0,36,284,251,246
